record_type,packet_id,timestamp_us,ts_sec,ts_usec,flow_id,direction,ip_version,src_ip,dst_ip,src_port,dst_port,protocol,pkt_len,ip_len,payload_len,ttl_or_hop_limit,tcp_seq,tcp_ack,tcp_flags,tcp_window,tcp_header_len,udp_len,icmp_type,icmp_code,l7_proto,flow_iat_us,direction_iat_us,packet_label
packet,0,1753970810619160,1753970810,619160,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,7876,7876,0
packet,0,1753970810622329,1753970810,622329,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,3169,3169,0
packet,0,1753970810623369,1753970810,623369,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,1040,1040,0
packet,0,1753970810624388,1753970810,624388,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,1019,1019,0
packet,0,1753970810631801,1753970810,631801,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,7413,7413,0
packet,0,1753970810633976,1753970810,633976,752584561228831,0,4,185.239.63.85,5.187.35.53,54888,20895,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,0,0,0
packet,0,1753970810635053,1753970810,635053,752584561228831,0,4,185.239.63.85,5.187.35.53,54888,20895,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,1077,1077,0
packet,0,1753970810639444,1753970810,639444,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,7643,7643,0
packet,0,1753970810640581,1753970810,640581,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,1137,1137,0
packet,0,1753970810641578,1753970810,641578,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,997,997,0
packet,0,1753970810643620,1753970810,643620,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,2042,2042,0
packet,0,1753970810643658,1753970810,643658,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,770,770,742,64,0,0,0,-1,-1,750,-1,-1,1,92014,137212,0
packet,0,1753970810644245,1753970810,644245,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,1441,1441,1413,64,0,0,0,-1,-1,1421,-1,-1,1,587,587,0
packet,0,1753970810644262,1753970810,644262,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,1441,1441,1413,64,0,0,0,-1,-1,1421,-1,-1,1,17,17,0
packet,0,1753970810644263,1753970810,644263,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,377,377,349,64,0,0,0,-1,-1,357,-1,-1,1,1,1,0
packet,0,1753970810646783,1753970810,646783,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,3163,3163,0
packet,0,1753970810648635,1753970810,648635,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,1852,1852,0
packet,0,1753970810649711,1753970810,649711,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,1076,1076,0
packet,0,1753970810650882,1753970810,650882,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,1171,1171,0
packet,0,1753970810651895,1753970810,651895,829546692503333,0,4,185.239.63.85,122.228.23.224,54888,45580,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,0,0,0
packet,0,1753970810652951,1753970810,652951,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,2069,2069,0
packet,0,1753970810653966,1753970810,653966,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,1015,1015,0
packet,0,1753970810654996,1753970810,654996,829546692503333,0,4,185.239.63.85,122.228.23.224,54888,45580,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,3101,3101,0
packet,0,1753970810656142,1753970810,656142,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,2176,2176,0
packet,0,1753970810660159,1753970810,660159,631616577310543,0,4,185.41.138.44,87.138.230.101,0,0,50,1574,1556,1528,64,0,0,0,-1,-1,-1,-1,-1,0,33808,33808,0
packet,0,1753970810660223,1753970810,660223,631616577310543,0,4,185.41.138.44,87.138.230.101,0,0,50,1574,1556,1528,64,0,0,0,-1,-1,-1,-1,-1,0,64,64,0
