flow_id,IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label
578667952758263,216.239.36.54,443,185.41.138.75,51397,6,0,52,1,0,0,16,16,0,0,0,0,121,121,52,52,52,52,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,701,0,0,0,0,0,0,0,0
341861418360336,185.41.136.49,8,10.91.35.17,0,1,0,84,1,84,1,0,0,0,2,0,0,63,63,84,84,84,84,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0
756782811667993,92.68.135.209,49769,185.239.60.34,3478,17,1,56,1,84,1,0,0,0,3,0,0,52,126,84,56,56,84,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0
694970076978720,185.239.61.100,31331,185.102.44.60,5060,17,1,32,1,0,0,0,0,0,0,0,0,62,62,32,32,32,32,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
727846830825012,52.98.152.162,443,185.239.60.98,60928,17,1,77,1,0,0,0,0,0,0,0,0,108,108,77,77,77,77,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
692197203402299,185.41.138.68,58172,8.8.8.8,53,17,12,65,1,81,1,0,0,0,6,0,0,57,64,81,65,65,81,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0
816231676665442,185.41.138.43,20414,18.239.50.114,443,6,0,52,1,52,1,16,16,16,6,0,0,62,247,52,52,52,52,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,1114,133,0,0,0,0,0,0,0
283238094757476,185.41.138.68,64683,142.250.186.142,443,17,22,342,6,270,5,0,0,0,1089,1081,1081,58,126,57,54,54,57,316.275130,249.649797,0,0,0,0,2530.201038,1997.198375,11,0,0,0,0,0,0,0,0,0,0,0,0,0
606535166615141,185.239.60.98,53726,52.98.241.194,443,17,22,63,1,0,0,0,0,0,0,0,0,126,126,63,63,63,63,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
574458451680879,99.83.237.20,443,185.239.63.178,59961,6,0,83,1,40,1,24,24,16,51,0,0,126,247,83,40,40,83,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,265,1022,0,0,0,0,0,0,0
391065640459901,185.41.136.49,8,10.91.34.39,0,1,0,84,1,84,1,0,0,0,3,0,0,63,63,84,84,84,84,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0
411769331211908,185.239.61.100,50485,52.98.232.34,443,6,0,8510,14,1893,12,24,24,24,386,386,370,63,125,1500,40,40,1500,22044.005119,5107.946864,0,0,0,0,176352.040948,40863.574915,16,2,1,3,4,1026,16385,0,0,0,0,0,0,0
396029832748697,10.91.35.166,0,185.41.136.49,8,1,0,84,1,0,0,0,0,0,0,0,0,63,63,84,84,84,84,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
794911919922847,185.41.138.38,47842,156.154.66.210,53,17,12,100,1,249,1,0,0,0,4,0,0,55,63,249,100,100,249,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
389951417638569,77.222.72.66,12677,54.76.192.225,13336,17,1,10000,50,0,0,0,0,0,1344,1344,0,63,63,200,200,200,200,7439.175442,0.000000,0,0,0,0,59513.403534,0.000000,0,50,0,0,0,0,0,0,0,0,0,0,0,0
424405334711989,185.41.136.49,8,10.91.33.215,0,1,0,168,2,84,1,0,0,0,1001,999,0,63,63,84,84,84,84,168.093965,0.000000,0,0,0,0,1344.751716,0.000000,3,0,0,0,0,0,0,0,0,0,0,0,0,0
786871702806198,185.41.136.49,8,10.91.36.41,0,1,0,84,1,84,1,0,0,0,6,0,0,63,63,84,84,84,84,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0
695271863443139,185.239.60.50,61005,8.8.8.8,53,17,12,86,1,167,1,0,0,0,16,0,0,121,126,167,86,86,167,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
