flow_id,total_fwd_packets,total_backward_packets,label,flow_duration,flow_iat_mean,flow_iat_max,packet_rows,packet_fwd_count,packet_bwd_count,packet_unknown_direction_count,any_packet_label,alert_packet_count,packet_payload_sum,flow_iat_mean_from_packets,flow_iat_max_from_packets,direction_iat_mean_from_packets,direction_iat_max_from_packets,_merge,fwd_packet_diff,bwd_packet_diff
79187677891788,1,0,0,0,0.0,0,1,1,0,0,0,0,35,0.0,0,0.0,0,both,0,0
79850456241224,4,3,0,47346,7891.0,16078,7,4,3,0,0,0,482,6763.714285714285,16078,12734.42857142857,26194,both,0,0
80460046315303,2,1,0,24805,12402.5,24369,3,2,1,0,0,0,70,8268.333333333334,24369,145.33333333333334,436,both,0,0
82045431455228,1,1,0,4312,4312.0,4312,2,1,1,0,0,0,1,2156.0,4312,0.0,0,both,0,0
82284438177109,5,5,0,46779,5197.666667,14597,10,5,5,0,0,0,1284,4677.9,14597,8805.5,38274,both,0,0
82828170717777,1,1,0,3071,3071.0,3071,2,1,1,0,0,0,2,1535.5,3071,0.0,0,both,0,0
83008733696859,6,5,0,44021,4402.1,10101,11,6,5,0,0,0,8517,4001.909090909091,10101,6308.090909090909,12441,both,0,0
83755691209334,1,0,0,0,0.0,0,1,1,0,0,0,0,0,0.0,0,0.0,0,both,0,0
85021769443034,1,0,0,0,0.0,0,1,1,0,0,0,0,1,0.0,0,0.0,0,both,0,0
85116430444789,5,5,0,44757,4973.0,20496,10,5,5,0,0,0,6376,4475.7,20496,7829.1,40406,both,0,0
85488994641255,1,0,0,0,0.0,0,1,1,0,0,0,0,36,0.0,0,0.0,0,both,0,0
86205456938647,6,5,0,45866,4586.6,16876,11,6,5,0,0,0,3586,4169.636363636364,16876,7415.818181818182,18205,both,0,0
86616781918249,1,1,0,4561,4561.0,4561,2,1,1,0,0,0,673,2280.5,4561,0.0,0,both,0,0
87163897463992,2,0,0,12923,12923.0,12923,2,2,0,0,0,0,452,6461.5,12923,6461.5,12923,both,0,0
87833085579548,2,0,0,45487,45487.0,45487,2,2,0,0,0,0,0,22743.5,45487,22743.5,45487,both,0,0
87893350612936,2,0,0,45473,45473.0,45473,2,2,0,0,0,0,0,22736.5,45473,22736.5,45473,both,0,0
88445658828033,2,0,0,23,23.0,23,2,2,0,0,0,0,983,11.5,23,11.5,23,both,0,0
88676771730894,1,1,0,6952,6952.0,6952,2,1,1,0,0,0,37,3476.0,6952,0.0,0,both,0,0
89487760040212,1,0,0,0,0.0,0,1,1,0,0,0,0,502,0.0,0,0.0,0,both,0,0
90485561180146,1,1,0,8402,8402.0,8402,2,1,1,0,0,0,195,4201.0,8402,0.0,0,both,0,0
90638932354459,2,0,0,44834,44834.0,44834,2,2,0,0,0,0,0,22417.0,44834,22417.0,44834,both,0,0
90881528537968,4,2,1,44777,8955.4,22466,6,4,2,0,1,3,915,7462.833333333333,22466,7523.333333333333,29467,both,0,0
